"";"Unnamed: 0";"ISBN";"count";"rating-mean";"rating-std";"group-weight";"normalized-weight"
"0";"0";"0 907 062 008";"8.0";"10.0";"0.0";"0.0";"0.0"
"1";"1";"00000000";"6.0";"8.0";"1.4142135623730951";"0.0";"0.0"
"2";"2";"000000000";"13.0";"6.0";"N/A";"0.0";"0.0"
"3";"3";"0000000000";"8.0";"8.25";"1.5";"0.0";"0.0"
"4";"4";"0002005018";"13.0";"7.5";"1.4142135623730951";"0.0";"0.0"
"5";"5";"0002005115";"7.0";"9.0";"0.0";"0.0";"0.0"
"6";"6";"0002243962";"6.0";"5.75";"1.707825127659933";"0.0";"0.0"
"7";"7";"0002244098";"8.0";"6.333333333333333";"1.1547005383792517";"0.0";"0.0"
"8";"8";"0002251760";"12.0";"9.0";"2.0";"0.0";"0.0"
"9";"9";"0002255081";"10.0";"6.25";"2.217355782608345";"0.0";"0.0"
"10";"10";"0002257203";"8.0";"8.0";"0.0";"0.0";"0.0"
"11";"11";"0002259001";"13.0";"8.571428571428571";"0.9759000729485332";"0.0";"0.0"
"12";"12";"0002259834";"9.0";"7.4";"1.1401754250991378";"0.0";"0.0"
"13";"13";"0002550563";"8.0";"6.5";"2.3804761428476167";"0.0";"0.0"
"14";"14";"0002557029";"8.0";"8.666666666666666";"1.1547005383792517";"0.0";"0.0"
"15";"15";"0002558122";"16.0";"8.5";"0.7559289460184544";"0.0";"0.0"
"16";"16";"0004701674";"6.0";"7.666666666666667";"1.1547005383792517";"0.0";"0.0"
"17";"17";"0006157629";"7.0";"9.0";"1.0";"0.0";"0.0"
"18";"18";"000615929X";"6.0";"7.0";"0.0";"0.0";"0.0"
"19";"19";"0006165400";"6.0";"7.5";"2.1213203435596424";"0.0";"0.0"
"20";"20";"0006165591";"6.0";"8.0";"N/A";"0.0";"0.0"
"21";"21";"0006172768";"16.0";"7.4";"0.8944271909999159";"0.0";"0.0"
"22";"22";"0006176909";"8.0";"8.25";"0.5";"0.0";"0.0"
"23";"23";"0006177301";"6.0";"N/A";"N/A";"0.0";"0.0"
"24";"24";"0006280803";"6.0";"8.0";"0.0";"0.0";"0.0"
"25";"25";"0006374921";"14.0";"8.857142857142858";"0.8997354108424372";"0.0";"0.0"
"26";"26";"0006375952";"7.0";"7.0";"1.7320508075688772";"0.0";"0.0"
"27";"27";"0006392121";"8.0";"7.666666666666667";"2.516611478423583";"0.0";"0.0"
"28";"28";"0006471161";"7.0";"8.0";"N/A";"0.0";"0.0"
"29";"29";"0006471641";"7.0";"7.0";"1.4142135623730951";"0.0";"0.0"
"30";"30";"0006472087";"6.0";"9.0";"N/A";"0.0";"0.0"
"31";"31";"0006472184";"7.0";"8.0";"2.8284271247461903";"0.0";"0.0"
"32";"32";"0006472427";"6.0";"7.5";"0.5773502691896257";"0.0";"0.0"
"33";"33";"0006473369";"6.0";"8.5";"0.7071067811865476";"0.0";"0.0"
"34";"34";"0006473377";"8.0";"7.0";"0.0";"0.0";"0.0"
"35";"35";"0006475973";"17.0";"7.166666666666667";"0.408248290463863";"0.0";"0.0"
"36";"36";"0006479286";"9.0";"N/A";"N/A";"0.0";"0.0"
"37";"37";"0006480535";"6.0";"6.0";"N/A";"0.0";"0.0"
"38";"38";"0006480764";"10.0";"5.0";"2.0";"0.0";"0.0"
"39";"39";"0006480918";"7.0";"9.5";"0.7071067811865476";"0.0";"0.0"
"40";"40";"0006481213";"7.0";"9.25";"0.957427107756338";"0.0";"0.0"
"41";"41";"0006482783";"8.0";"9.0";"N/A";"0.0";"0.0"
"42";"42";"000648302X";"12.0";"6.5";"2.32992949004287";"0.0";"0.0"
"43";"43";"0006485014";"10.0";"6.857142857142857";"2.4784787961282104";"0.0";"0.0"
"44";"44";"0006485200";"11.0";"8.6";"1.3416407864998738";"0.0";"0.0"
"45";"45";"0006485855";"6.0";"8.0";"0.0";"0.0";"0.0"
"46";"46";"0006485936";"7.0";"8.333333333333334";"0.5773502691896257";"0.0";"0.0"
"47";"47";"0006492347";"6.0";"7.75";"2.6299556396765835";"0.0";"0.0"
"48";"48";"0006493580";"23.0";"6.875";"1.246423454758225";"0.0";"0.0"
"49";"49";"0006496423";"12.0";"7.5";"1.914854215512676";"0.0";"0.0"
"50";"50";"000649644X";"6.0";"N/A";"N/A";"0.0";"0.0"
"51";"51";"0006496946";"7.0";"7.0";"1.632993161855452";"0.0";"0.0"
"52";"52";"0006497721";"6.0";"7.5";"0.7071067811865476";"0.0";"0.0"
"53";"53";"0006497802";"6.0";"8.25";"1.707825127659933";"0.0";"0.0"
"54";"54";"0006498027";"6.0";"6.666666666666667";"0.5773502691896258";"0.0";"0.0"
"55";"55";"0006498035";"8.0";"5.0";"0.0";"0.0";"0.0"
"56";"56";"0006498329";"8.0";"7.666666666666667";"1.5275252316519463";"0.0";"0.0"
"57";"57";"000649840X";"78.0";"7.705882352941177";"1.8011681691664825";"0.0";"0.0"
"58";"58";"000649885X";"6.0";"3.0";"N/A";"0.0";"0.0"
"59";"59";"000649983X";"9.0";"8.5";"0.8366600265340756";"0.0";"0.0"
"60";"60";"0006510345";"9.0";"8.75";"0.957427107756338";"0.0";"0.0"
"61";"61";"0006511767";"9.0";"8.5";"0.5773502691896257";"0.0";"0.0"
"62";"62";"0006511929";"11.0";"N/A";"N/A";"0.0";"0.0"
"63";"63";"000651202X";"9.0";"7.333333333333333";"0.5773502691896258";"0.0";"0.0"
"64";"64";"0006512046";"9.0";"9.0";"1.0";"0.0";"0.0"
"65";"65";"0006512062";"12.0";"7.0";"0.0";"0.0";"0.0"
"66";"66";"0006512135";"22.0";"6.666666666666667";"2.8867513459481287";"0.0";"0.0"
"67";"67";"0006512801";"7.0";"6.0";"0.0";"0.0";"0.0"
"68";"68";"0006513204";"18.0";"7.545454545454546";"1.2933395813657265";"0.0";"0.0"
"69";"69";"0006513239";"7.0";"6.75";"1.2583057392117916";"0.0";"0.0"
"70";"70";"0006513409";"8.0";"4.0";"N/A";"0.0";"0.0"
