"ISBN";"count";"rating-mean";"rating-std";"group-weight";"normalized-weight";"weighted-count";"rank";"rank-gain"
"0020198906";"10.0";"7.666666666666667";"0.5773502691896258";"1.7";"0.1699999999999999";"1.699999999999999";"13.711151736745887";"-77.50561204977053"
"0020199600";"8.0";"8.25";"0.957427107756338";"1.625";"0.203125";"1.625";"10.557586837294332";"-79.74843716610164"
"002026478X";"14.0";"10.0";"N/A";"1.9285714285714288";"0.1377551020408163";"1.9285714285714284";"24.63436928702011";"-70.68844165729355"
"0020427859";"8.0";"9.5";"0.7071067811865476";"3.0";"0.375";"3.0";"89.57952468007312";"2.109914831734443"
"0020442009";"10.0";"8.5";"0.5773502691896257";"2.1";"0.21";"2.1";"36.425959780621575";"-51.996839586491454"
"0020442106";"6.0";"8.5";"0.7071067811865476";"2.1666666666666665";"0.3611111111111111";"2.1666666666666665";"42.550274223034734";"-37.13559773312626"
"0020442203";"12.0";"9.4";"0.8944271909999159";"2.0";"0.1666666666666666";"1.9999999999999991";"26.37111517367459";"-68.5271984140999"
"0020442300";"8.0";"9.0";"1.4142135623730951";"2.375";"0.296875";"2.375";"56.924131627056674";"-26.632384407366196"
"0020442408";"13.0";"8.5";"0.7071067811865476";"2.1538461538461537";"0.165680473372781";"2.153846153846153";"40.40219378427788";"-51.58252431088672"
"0020442505";"8.0";"7.0";"2.8284271247461903";"2.875";"0.359375";"2.875";"84.50639853747715";"-4.7576774089589975"
"0020442602";"9.0";"8.75";"0.957427107756338";"2.555555555555556";"0.2839506172839506";"2.5555555555555554";"68.89853747714808";"-19.018724128995558"
"0020446500";"6.0";"8.0";"0.0";"2.5";"0.4166666666666667";"2.5";"67.09323583180988";"-18.570330717798427"
"0020518501";"7.0";"7.666666666666667";"1.5275252316519463";"3.571428571428572";"0.5102040816326531";"3.5714285714285716";"97.76051188299817";"19.15903771945092"
"0020868308";"10.0";"9.666666666666666";"0.5773502691896257";"1.8";"0.18";"1.7999999999999998";"17.595978062157222";"-70.32128354398643"
"002542730X";"30.0";"7.285714285714286";"1.9760470401187076";"2.2333333333333334";"0.0744444444444444";"2.233333333333332";"45.97806215722121";"-53.06103019024918"
"0028604032";"6.0";"8.666666666666666";"1.1547005383792517";"1.8333333333333333";"0.3055555555555555";"1.833333333333333";"20.315356489945156";"-41.25605554262536"
"0028604199";"7.0";"7.666666666666667";"1.5275252316519463";"2.142857142857143";"0.3061224489795918";"2.1428571428571423";"40.03656307129799";"-56.22014205740189"
"0028604202";"10.0";"8.0";"0.0";"2.3";"0.2299999999999999";"2.299999999999999";"51.21115173674589";"-38.83245571897132"
"0060001453";"6.0";"7.666666666666667";"2.0816659994661326";"1.6666666666666667";"0.2777777777777778";"1.6666666666666667";"13.117001828153565";"-76.57157147482178"
"0060002492";"8.0";"7.0";"2.8284271247461903";"2.875";"0.359375";"2.875";"84.50639853747715";"-3.916400829635876"
"0060007192";"7.0";"10.0";"0.0";"2.571428571428572";"0.3673469387755102";"2.5714285714285716";"70.70383912248629";"0.38778154520846897"
"0060008032";"15.0";"7.5";"0.5773502691896257";"2.1333333333333333";"0.1422222222222222";"2.133333333333333";"38.8254113345521";"-58.928611742667826"
"0060008776";"8.0";"N/A";"N/A";"1.75";"0.21875";"1.75";"16.270566727605118";"N/A"
"0060012781";"6.0";"8.0";"N/A";"4.166666666666667";"0.6944444444444445";"4.166666666666667";"99.86288848263254";"15.580867875215418"
