"ISBN";"count";"rating-mean";"rating-std";"group-size";"group-weight";"normalized-weight";"weighted-count";"rank";"rank-gain"
"0020198906";"10.0";"7.666666666666667";"0.5773502691896258";"925.3";"1.7";"0.0018372419755754";"0.018372419755754002";"65.33363802559415";"-25.88312576092227"
"0020199600";"8.0";"8.25";"0.957427107756338";"696.375";"1.625";"0.0023335128343205";"0.018668102674564";"65.9963436928702";"-24.309680310525778"
"002026478X";"14.0";"10.0";"N/A";"1617.857142857143";"1.9285714285714288";"0.0011920529801324";"0.0166887417218536";"60.74040219378428";"-34.58240875052938"
"0020427859";"8.0";"9.5";"0.7071067811865476";"1281.625";"3.0";"0.0023407783087876";"0.0187262264703008";"66.24771480804388";"-21.221895040294797"
"0020442009";"10.0";"8.5";"0.5773502691896257";"655.8";"2.1";"0.0032021957913998";"0.032021957913998";"84.3235831809872";"-4.09921618612583"
"0020442106";"6.0";"8.5";"0.7071067811865476";"759.6666666666666";"2.1666666666666665";"0.0028521281263712";"0.0171127687582272";"62.04296160877514";"-17.642910347385858"
"0020442203";"12.0";"9.4";"0.8944271909999159";"818.25";"2.0";"0.0024442407577146";"0.029330889092575203";"81.78702010968921";"-13.111293478085273"
"0020442300";"8.0";"9.0";"1.4142135623730951";"969.375";"2.375";"0.0024500322372662";"0.0196002578981296";"68.0073126142596";"-15.549203420163266"
"0020442408";"13.0";"8.5";"0.7071067811865476";"802.7692307692307";"2.1538461538461537";"0.0026830203142966";"0.0348792640858558";"86.56307129798903";"-5.421646797175569"
"0020442505";"8.0";"7.0";"2.8284271247461903";"2336.375";"2.875";"0.001230538761971";"0.009844310095768";"34.78062157221206";"-54.48345437422409"
"0020442602";"9.0";"8.75";"0.957427107756338";"730.4444444444445";"2.555555555555556";"0.0034986309704898";"0.0314876787344082";"83.91224862888483";"-4.005012977258815"
"0020446500";"6.0";"8.0";"0.0";"3808.0";"2.5";"0.000656512605042";"0.003939075630252";"1.1197440585009142";"-84.54382249110739"
"0020518501";"7.0";"7.666666666666667";"1.5275252316519463";"3037.428571428572";"3.571428571428572";"0.0011758066033298";"0.008230646223308598";"25.70840950639854";"-52.89306465714871"
"0020868308";"10.0";"9.666666666666666";"0.5773502691896257";"738.3";"1.8";"0.0024380333197887";"0.024380333197887";"76.1654478976234";"-11.751813708520245"
"002542730X";"30.0";"7.285714285714286";"1.9760470401187076";"1232.7666666666669";"2.2333333333333334";"0.0018116431874104";"0.054349295622312";"93.76142595978062";"-5.277666387689763"
"0028604032";"6.0";"8.666666666666666";"1.1547005383792517";"477.5";"1.8333333333333333";"0.0038394415357766";"0.023036649214659602";"74.17733089579525";"12.60591886322473"
"0028604199";"7.0";"7.666666666666667";"1.5275252316519463";"772.0";"2.142857142857143";"0.0027757216876387";"0.0194300518134709";"67.68738574040219";"-28.569319388297686"
"0028604202";"10.0";"8.0";"0.0";"1399.7";"2.3";"0.0016432092591269";"0.016432092591268998";"60.123400365630715";"-29.920207090086492"
"0060001453";"6.0";"7.666666666666667";"2.0816659994661326";"1097.5";"1.6666666666666667";"0.0015186028853454";"0.0091116173120724";"30.987202925045704";"-58.701370377929635"
"0060002492";"8.0";"7.0";"2.8284271247461903";"3373.5";"2.875";"0.0008522306210167";"0.0068178449681336";"16.224862888482633";"-72.1979364786304"
"0060007192";"7.0";"10.0";"0.0";"648.5714285714286";"2.571428571428572";"0.0039647577092511";"0.027753303964757697";"80.11882998171846";"9.802772404440645"
"0060008032";"15.0";"7.5";"0.5773502691896257";"1714.0666666666666";"2.1333333333333333";"0.0012446034771109";"0.0186690521566635";"66.01919561243145";"-31.73482746478848"
"0060008776";"8.0";"N/A";"N/A";"1519.375";"1.75";"0.0011517893870835";"0.009214315096668";"31.512797074954296";"N/A"
"0060012781";"6.0";"8.0";"N/A";"3273.6666666666665";"4.166666666666667";"0.0012727828123409";"0.0076366968740453995";"21.640767824497257";"-62.641252782919864"
"006008460X";"7.0";"8.0";"N/A";"1137.428571428571";"1.5714285714285714";"0.0013815624215021";"0.0096709369505147";"33.889396709323584";"-47.89966669514522"
"0060085444";"13.0";"7.0";"0.0";"1871.5384615384612";"2.076923076923077";"0.0011097410604192";"0.0144266337854496";"54.159049360146255";"-41.36443306180412"
"0060085452";"10.0";"8.0";"1.632993161855452";"2098.4";"2.8";"0.0013343499809378";"0.013343499809378";"50.297074954296164";"-40.91968883222026"
"0060086246";"7.0";"8.5";"2.1213203435596424";"954.1428571428572";"1.2857142857142858";"0.001347507111843";"0.009432549782901001";"32.63254113345521";"-55.790258233657816"
"0060090375";"7.0";"8.25";"0.957427107756338";"1550.142857142857";"1.4285714285714286";"0.0009215740484747";"0.006451018339322901";"13.734003656307129";"-76.30960379941008"
"0060092653";"8.0";"8.0";"N/A";"3018.125";"2.625";"0.0008697452888796";"0.0069579623110368";"17.07038391224863";"-68.59318263735967"
"0060092661";"7.0";"8.0";"N/A";"1554.571428571429";"1.7142857142857142";"0.0011027384671935";"0.007719169270354501";"22.189213893967093";"-61.36730214045578"
"0060096195";"18.0";"7.666666666666667";"1.7511900715418265";"1927.111111111111";"2.2777777777777777";"0.0011819649446494";"0.021275369003689197";"71.27513711151737";"-26.301368889331627"
"006016848X";"24.0";"7.9";"1.7919573407620817";"1141.4583333333333";"2.458333333333333";"0.0021536776784084";"0.051688264281801594";"93.14442413162706";"N/A"
"0060172916";"7.0";"7.666666666666667";"0.5773502691896258";"2663.8571428571427";"3.4285714285714284";"0.0012870703062154";"0.0090094921435078";"30.16453382084095";"-56.120342496065625"
"0060173289";"13.0";"7.25";"1.707825127659933";"1634.3076923076924";"2.5384615384615383";"0.0015532335498446";"0.0201920361479798";"69.12705667276052";"-29.105490697285404"
"0060175400";"17.0";"9.666666666666666";"0.5773502691896257";"1783.529411764706";"2.294117647058824";"0.0012862796833773";"0.0218667546174141";"72.25776965265082";"-26.48803361211975"
"0060175966";"10.0";"9.5";"0.7071067811865476";"609.7";"2.0";"0.0032803017877644";"0.032803017877644";"84.89488117001828";"-8.98849782893977"
"006017773X";"6.0";"9.0";"1.4142135623730951";"2770.6666666666665";"2.6666666666666665";"0.0009624639076034";"0.0057747834456204";"9.23217550274223";"-71.52651704539963"
"0060177888";"6.0";"7.666666666666667";"2.516611478423583";"779.6666666666666";"2.1666666666666665";"0.0027789653698161";"0.016673792218896602";"60.67184643510055";"-13.441532949764195"
"006018311X";"6.0";"7.5";"0.7071067811865476";"3574.6666666666665";"4.0";"0.0011189854531891";"0.0067139127191346";"15.493601462522852";"-58.61977792234189"
"0060184957";"8.0";"7.5";"1.0";"2432.875";"2.75";"0.0011303498946719";"0.0090427991573752";"30.438756855575868";"-55.84611946133071"
"006018650X";"6.0";"N/A";"N/A";"1794.5";"2.333333333333333";"0.0013002693415064";"0.007801616049038399";"22.646252285191956";"N/A"
"0060186526";"7.0";"8.0";"N/A";"3454.8571428571427";"2.7142857142857144";"0.0007856434005954";"0.0054995038041678";"7.655393053016454";"N/A"
"0060192119";"8.0";"10.0";"N/A";"2638.0";"3.0";"0.0011372251705837";"0.0090978013646696";"30.872943327239486";"-63.168657413701354"
"0060192704";"6.0";"9.0";"1.4142135623730951";"1281.5";"1.3333333333333333";"0.0010404473923787";"0.0062426843542722";"12.248628884826326";"-68.51006366331553"
"0060193395";"6.0";"7.5";"3.5355339059327378";"3543.0";"4.166666666666667";"0.0011760278483394";"0.0070561670900364006";"17.80164533820841";"-69.11611794662932"
"0060194448";"7.0";"8.2";"1.3038404810405295";"2801.5714285714284";"3.0";"0.0010708275967569";"0.007495793177298301";"20.47531992687386";"-65.80955639003272"
"006019491X";"13.0";"9.5";"0.7071067811865476";"2157.3076923076924";"2.0";"0.0009270814761989";"0.0120520591905857";"45.4981718464351";"-51.73873626918254"
"0060199652";"13.0";"8.8";"1.0954451150103324";"2232.3846153846152";"2.3076923076923075";"0.0010337341924813";"0.0134385445022569";"50.57129798903108";"-47.603363377850414"
"0060234814";"7.0";"9.4";"0.8944271909999159";"2386.8571428571427";"3.7142857142857135";"0.0015561407708881";"0.0108929853962167";"40.470749542961606";"-24.550668278209237"
"0060248025";"9.0";"9.166666666666666";"1.3291601358251257";"402.22222222222223";"2.111111111111111";"0.0052486187845303";"0.0472375690607727";"91.91042047531992";"1.6043964719239483"
"0060256656";"12.0";"10.0";"0.0";"758.1666666666666";"1.9166666666666667";"0.0025280281380523";"0.030336337656627597";"82.92961608775137";"-6.006439174086324"
"0060256672";"7.0";"9.2";"1.0954451150103324";"2455.5714285714284";"3.2857142857142856";"0.0013380650415963";"0.0093664552911741";"32.38117001828154";"-54.536593266556196"
"0060256737";"11.0";"8.833333333333334";"1.3291601358251257";"1867.909090909091";"2.8181818181818183";"0.0015087360685258";"0.0165960967537838";"60.39762340036563";"-27.51963820577801"
"0060263857";"6.0";"9.25";"0.957427107756338";"696.6666666666666";"1.5";"0.0021531100478468";"0.0129186602870808";"48.62888482632541";"-29.97258933722184"
"0060391626";"19.0";"8.666666666666666";"2.309401076758504";"1800.578947368421";"2.1052631578947367";"0.0011692145801058";"0.0222150770220102";"73.05758683729434";"-25.80012936692748"
"0060392452";"35.0";"8.0";"1.5811388300841898";"1006.5714285714286";"2.3714285714285714";"0.0023559466363894";"0.08245813227362901";"97.55484460694699";"-2.1055575078216577"
"0060502258";"45.0";"7.769230769230769";"1.589226549501683";"1285.4444444444443";"2.111111111111111";"0.0016423199930849";"0.0739043996888205";"96.96069469835466";"-2.850211024641524"
"0060505885";"14.0";"7.0";"2.0";"1473.7142857142858";"1.3571428571428572";"0.000920899573478";"0.012892594028692";"48.49177330895795";"-46.51073508451251"
"0060507365";"8.0";"8.0";"2.6457513110645907";"3586.0";"2.75";"0.0007668711656441";"0.0061349693251528";"11.494515539305302";"-70.29454786516351"
"0060507845";"6.0";"9.0";"N/A";"1206.1666666666667";"2.1666666666666665";"0.0017963244438303";"0.0107779466629818";"39.762340036563074";"-49.17371522527462"
"0060512806";"10.0";"8.333333333333334";"1.1547005383792517";"1989.7";"2.7";"0.0013569884907272";"0.013569884907272";"51.074040219378425";"-40.65597946186265"
"0060512822";"15.0";"8.5";"1.2909944487358056";"2293.6";"2.4";"0.0010463899546564";"0.015695849319845998";"58.06672760511883";"-39.07370383855809"
"0060513640";"9.0";"7.75";"1.5";"1340.111111111111";"2.333333333333333";"0.0017411491584445";"0.0156703424260005";"57.86106032906764";"-32.73053462327289"
