"ISBN";"count";"rating-mean";"rating-std";"group-size";"group-weight";"normalized-weight"
"002026478X";"4.0";"10.0";"N/A";"2551.5";"1.0";"0.0003919263178522438"
"0020446500";"3.0";"8.0";"N/A";"6557.333333333333";"1.0";"0.0001525010166734445"
"0020518501";"3.0";"9.0";"N/A";"6488.0";"1.0";"0.00015413070283600493"
"002089130X";"3.0";"N/A";"N/A";"1233.3333333333333";"1.0";"0.0008108108108108109"
"002542730X";"9.0";"7.333333333333333";"2.309401076758503";"2024.0";"1.0";"0.0004940711462450593"
"0028604202";"4.0";"10.0";"0.0";"1152.5";"1.0";"0.0008676789587852494"
"0060002492";"3.0";"5.0";"N/A";"6738.666666666667";"1.0";"0.000148397309062129"
"0060008032";"4.0";"8.0";"0.0";"3945.5";"1.0";"0.0002534533012292485"
"0060008776";"3.0";"N/A";"N/A";"1827.0";"1.0";"0.0005473453749315818"
"0060083948";"4.0";"8.0";"N/A";"4181.5";"1.0";"0.00023914863087408825"
"0060096195";"4.0";"7.5";"0.7071067811865476";"4196.5";"1.0";"0.00023829381627546765"
"006016848X";"4.0";"8.0";"1.4142135623730951";"3521.25";"1.0";"0.00028399006034788784"
"0060175400";"3.0";"9.5";"0.7071067811865476";"6557.333333333333";"1.0";"0.0001525010166734445"
"0060191988";"3.0";"7.0";"N/A";"4844.666666666667";"1.0";"0.00020641254988303288"
"0060193123";"3.0";"N/A";"N/A";"6775.333333333333";"1.0";"0.0001475942143067992"
"0060193344";"3.0";"5.0";"N/A";"6387.333333333333";"1.0";"0.00015655985805239537"
"006019491X";"5.0";"9.333333333333334";"1.1547005383792517";"4238.8";"1.2";"0.00028309899028026796"
"0060198133";"3.0";"7.0";"N/A";"4623.666666666667";"1.0";"0.0002162785667940307"
"0060199652";"4.0";"7.0";"4.242640687119285";"5176.75";"1.0";"0.00019317139131694595"
"0060391626";"6.0";"10.0";"0.0";"4070.5";"1.0";"0.00024567006510256724"
"0060392452";"7.0";"9.0";"1.0";"2690.5714285714284";"1.0";"0.0003716682595306361"
"0060393823";"4.0";"N/A";"N/A";"3493.0";"1.0";"0.000286286859433152"
"0060502258";"9.0";"8.2";"1.3038404810405297";"3147.1111111111113";"1.0";"0.000317751729981641"
"0060512822";"4.0";"10.0";"N/A";"5668.0";"1.0";"0.00017642907551164433"
"0060529709";"3.0";"N/A";"N/A";"860.3333333333334";"1.0";"0.001162340178225494"
"0060540753";"3.0";"7.5";"0.7071067811865476";"6557.333333333333";"1.0";"0.0001525010166734445"
"0060558199";"3.0";"9.0";"1.4142135623730951";"5033.333333333333";"1.0";"0.00019867549668874172"
"0060801115";"3.0";"N/A";"N/A";"1775.0";"1.0";"0.0005633802816901409"
"0060809396";"4.0";"N/A";"N/A";"1611.75";"1.0";"0.0006204436171862882"
"0060830956";"3.0";"N/A";"N/A";"5252.333333333333";"1.0";"0.00019039157199974617"
